question,answer
How To Switch Health Insurance Companies? ,"Under the affordable care act , you can change to another health insurance plan during the open enrollment period each year . If you 're outside the open enrollment period and want to switch plans , you would need to qualify for a special enrollment period -LRB- also referred to as a qualifying life-changing event -RRB- . Since a carrier can no longer decline you for a pre-existing condition , health insurance plans are , in short , guaranteed-issue . However , changing plans may not necessarily be in your best interest . Be sure to do an in-depth comparison of your existing plans and the proposed new plans you 're looking at to see which is truly better/more advantageous for your own situation - premiums , coinsurance , copayments , deductibles , out-of-pocket maximums , networks -LRB- HMO vs. PPO vs. POS -RRB- and other factors should be taken into account . An experienced health insurance broker can help you with this review . Please feel free to contact me for further assistance . Thanks very much . "
Why Is My Life Insurance Premium So High? ,"There are a lot of answers here and all of them have good information . The only other factor that I did not see mentioned here is you may have a product which started off at a lower premium , perhaps a guaranteed period and now you are beyond which the rates will increase depending on the type of policy along with the maximum guaranteed rates in the policy . "
What Is Employee Supplemental Life Insurance? ,"There are many forms of supplemental life insurance . The previous answer touches on the most common form - policies that allow employees to buy up from the group master contract . Sometimes the policies are convertible to an individual policy if the employee separates from the employer , sometimes not . There are other forms that do not require an employer contribution . If enough employees choose to participate those with pre-existing conditions can purchase a policy through payroll deduction without the need to answer medical questions , or take a medical exam . These supplemental policies are almost always portable . "
Does Prudential Sell Whole Life Insurance? ,"Actually , Prudential does NOT sell whole life insurance at this time . They do sell term life insurance , and they sell permanent insurance in the form of universal life , indexed universal life , variable universal life , and survivorship universal life . But they do state on their website that they do not offer whole life . "
Why Should I Get Disability Insurance? ,Disability insurance is fundamentally paycheck protection . Most American workers have 90 days of case reserves on hand . The average disability period is 31 months . Protecting income is with long term disability insurance is only second to long term life insurance . Protecting income is with long term disability insurance is only second to long term life insurance . 
When Does Government Health Insurance Start? ,"Government health insurance begins when you go to work for a government agency including the military . If you are a civilian employ of the government , you may also qualify for government provided health insurance . If you meet poverty guidelines you may qualify for Medicaid or SCHIP . If you are 65 or older you may qualify for Medicare . "
Can I Take Out Life Insurance On My Spouse? ,"You can own a life insurance policy on anyone , including your spouse . In most cases your spouse must agree to the insurance , make application and qualify medically . Some carriers issue policies that can be applied for without the insureds knowledge or consent . You can be the beneficiary of your spouse 's life insurance as long as there is an insurable interest -LRB- which is almost always the case -RRB- . "
Why Would Anyone Buy Term Life Insurance? ,People who have temporary financial liabilities and time certain future obligations purchase term life insurance . They do this to indemnify their family members or business associates or charities that depend on their benevolent giving . Most people also purchase term life insurance with a convertible clause that allows them to convert to permanent life insurance in case their temporary circumstances turn out to be outgoing . 
Does Homeowners Insurance Cover Water Heater Damage? ,"It would depend on what happened to the water heater and what type of policy you have . If thewater heater is damaged in a fire , or a tornado , you should havecoverage . A `` special form '' insurance policy will normally cover damage from a burst water heater , so they will pay for the clean up of the water but not to replace the water heater it 's self , since it was the cause of the claim . Remember , an insurance policy is for damage , but not maintenance . So if it quits , or does n't function like it is supposed to , that is an expense you would have to absorb . If the water heater is damaged by a `` Covered peril '' -LRB- refer to your contract -RRB- - then yes , it is part of the house and covered like anything else . "
Is It Smart To Buy Life Insurance? ,"I believe it is smart to have at least some life insurance . If left untouched or managed properly , the proceeds will pay upon your death , which is the time when your loved ones need it . It goes to them tax free , in most situations , and bypasses probate . The money can be paid to them in a lump sum or in a stream of money over many years . No matter what other investments you have , it seems smart to include life insurance in your portfoliio for its favorable traits as they relate to survivors . "
Does Life Insurance Go Through Probate? ,"Life insurance proceeds generally do not have to go through probate unless they are left to the estate . If the beneficiary is listed on the policy as `` estate '' , or if the persons who were listed as beneficiaries are no longer alive , then the life insurance proceeds will go through probate . If the proceeds are left to a living person , they will be paid to that person directly , bypassing probate . "
What Is The Best Life Insurance For Doctors? ,"As a physician you are most likely earning a fair income and want to be sure to minimize your taxes . The government would like to take most of your money and that of your heirs , but there are some very specific ways to avoid much of that government taking . New York Life allows me to provide you with their Whole Life Insurance , at elevated face amounts , due to your elevated income . With this Whole Life Insurance , you can be certain that your family and other heirs will receive their benefits completely tax free . New York Life will allow you to take out substantial amounts of life insurance , paying a premium which will build up over the years , while accruing interest that is tax deferred to you and tax free to your beneficiary when you die . You can borrow against this growing fund when you wish , and not pay taxes on that money if you decide not to pay it back , but instead allow it to lower the death benefit for the loan . You can also repay it and increase the death benefit as though no loan had been taken . While constantly growing , your beneficiary will be taking your large estate in life insurance , paid by your premium payments , take free to the beneficiary , while passing your estate tax free at up to $ 14,500 per year in tax free premium payments . If your estate is even higher , we can equip you with tax sheltered annuities which can pay you for the rest of your life . Also of note are our Long Term Care Benefits , which you can protect your entire estate with by ensuring you never have to pay for such long term care or be a burden on your family . In short , as your New York Life Agent , I can provide you with a variety of very suitable choices from which to protect your assets and your family , while keeping the tax agents far from your door . "
Why Do I Need Short Term Disability Insurance? ,"You should purchase long termdisability , but short term disability insurance should be the minimum coverage to protect your paycheck . But before you do determine if your employer sponsored group benefit plan has a short term disability policy . Keep min mind that Social Security has a disability plan for working Americans and other for non workers . "
How To Apply For Medicare Part B? ,You can go the Social Security website at SSA.gov / medicare / or you can visit your local Social Security office . Keep in mind that Medicare Part A & B only covers about 80 % of the cost of care and the remaining 20 % that you would pay does not have a limit . A lot of people get a Medicare Supplement -LRB- Medigap -RRB- to cover what Part A & B does not . With the right plan you would have very little out of pocket expenses for care . 
Can I Rent A Uhaul Without Auto Insurance? ,"Probably so , yes . You see , in many cases , if you had automobile insurance , it may not extend coverage onto a commercial van or truck like that anyway . So in a case like that even if you had your own insurance , you would need to obtain the coverage that Uhaul might offer as part of their package . "
Which Kind Of Life Insurance Is Best? ,"The best kind of life insurance is the life insurance policy that accomplishes your goal at the best possible rate . There are two basic types of life insurance . The first is cash value life insurance which can insure you your whole life , provide funds for children 's college , provide tax free retirement or provide funds for a critical illness . The second type of life insurance is term life . Term life insurance can create an instant estate , pay off a large debt such as a mortgage or student loan , provide a business funds in case of a death of a key employee and is the most affordable type of life insurance . "
Will Renters Insurance Cover Mold? ,"Mold and fungus coverage may be covered under your renters insurance . But the coverage most likely will be limited to a certain number , like $ 5K or $ 25K and deductible will apply . To better answer this question , check your insurance policy . If you can electronically search for the word `` mold '' do that . For example , The Hartford Insurance Company generally will pay out for mold damage that 's a direct result of a peril that 's covered by your policy . Let 's say mold , which needs moisture to thrive , is caused by water from a failed pipe , a covered peril . In that case , any resulting mold damage should be covered because the source of the water is covered by your policy . However , if mold is due to long-term neglect or overdue maintenance , then homeowners insurance is unlikely to cover the damage . Visit our website and instantly compare 3 HO proposals from Hartford , Travelers , Safeco on WEBSITELINK "
Can You Have Life Insurance While On Medicaid? ,There are no government restrictions to owning a life insurance policy while you are on Medicaid . The main thing is to be sure your monthly premiums are affordable and in your budget . It does not make since to purchase a life insurance policy that in a few months or years you can not afford . This would be a huge waste of money . Good luck . 
"If the owner of a life insurance policy dies and the insured is still alive but the policy hasn't matured, if the insured wanted to cash out will he/she only be getting the cash out value? ","The insured has no rights per se under a life insurance policy . Therefore , if the owner of a life insurance policy dies before the beneficiary , ownership of that life insurance policy reverts to the estate of the deceased owner . It 's that person that gets to decide what happens to the life policy . Hope this helps . "
How Does Variable Life Insurance Work? ,"Great question ! The type of policy you are asking about is called a universal life policy . The difference in this kind of policy lies in the flexibility of your payments , and in its performance . Unlike a term or whole life policy that will have regular , preset premium payment amounts , the universal life policy gives -LRB- within limits -RRB- you the ability to pay a little more , or a little less on your payments . The way your premium is invested gives you some flexibility also , unlike a more mainstream policy . If you would like more details , please contact me , I 'm happy to help . Thanks for asking ! "
What insurance covers your car if an auto shop damage your engine? ,"If your vehicle is damaged as a result of negligence by the body shop -LRB- or authorized dealership -RRB- , your auto insurance policy will not provide reimbursement for any out-of-pocket expenses you incur . Your best option is to work directly with the body shop/dealership that did the repair work an attempt to work out am amicable solution agreeable to both parties . Damage to the engine can be potentially very expensive , and perhaps render your vehicle unfit and unsafe to drive . Hiring an attorney may be your next-best recourse if the offending party is uncooperative . Important Note : This answer was provided by Ed Harris , one of the nation 's premier car insurance brokers . Carinsurancezoom.org is the leading US trusted authority for providing the best car insurance rates from top-rated companies . "
Does A Single Person With No Dependents Need Life Insurance? ,"Need . That 's a personal question only the individual can answer . What would the need be for ? And ` Life Insurance ' covers a lot of territory . When a single person with no dependents asks me if they need life insurance I ask them , `` Do you feel that you need a safe , protected way to save and grow your wealth tax-free ? '' -LRB- And there are a few other questions I ask -RRB- As an Insurance Adviser I 'm a big fan of Whole Life Insurance through a Mutual company because of the tax-free cash value growth . Something everyone can use - even if it 's not a `` Need '' as in the case of people like Warren Buffet , Bill Gates , etc. . "
Does Auto Insurance Have To Be In Owners Name? ,"Techinically to be able to insure something , you have to have an insurable interest in that something - typically this means you own the something or you are providing the financing of the something . The proper way to insure a vehicle is for `` named insured '' -LRB- the name the policy is taken out under -RRB- to be the same as the owner of the car . There are times where their is split ownership of a vehicle or a lot of times a minor might actually buy the car but still be on their parents policy . There are certain ways you can list named insured and additional insureds and a lot of times these are specific to your state and your particular carrier . Contact your local agent to discuss your specific situation . "
What Information Do I Need For Motorcycle Insurance? ,"the information you will need to secure motorcycle insurance is very similar to the information you needed to insure your car . If you are talking to the Insurance Professional who is already serving your car insurance needs , you are way ahead of the game because all of your personal information will already be available . Next you 'll need to provide the year , make and model of your bike along with the engine size - 750 cc or C50 for example . The bike 's Vehicle ID number will also be needed as well as the value of the machine . If you have completed a Rider Safety Course , required by many states in order for first time riders to obtain their license endorsement , a copy of that certificate will also be needed . Finally , if your bike is equipped with an alarm or other theft deterrent device , certification of that would be needed . "
Who Are The Top Homeowners Insurance Companies? ,"You can find numerous consumer surveys that rank homeowners insurance companies in a range of categories likeprice , customer service , claims service , financial stability , etc. . Find a few from sources you trust and see what they have to say . Or ... another option isgo find a local insuranceprofessional who has a long-standing relationship with one or more homeowners companies . If that company and agent have been successfully insuringhomes in your area for a number of years , that is a pretty good indicator of the quality of both the company and agent . "
How Much Life Insurance Can I Buy? ,"Financial justification is an important component when purchasing life insurance . Here are the basic components in determine the death benefit amount you want use to indemnify your beneficiaries . Add up all your debt -LRB- mortgage , auto , student loan , credit cards , etc. -RRB- Add up all your future obligations -LRB- childrens education , weddings , retirement . -RRB- Multiple your gross earnings from today until your target retirement date . Add all these categories together and you 've identified the bulk of your death benefit that you can justify to the life insurance company . "
How To Change Ownership Of A Life Insurance Policy? ,"The ownership of a life insurance policy can be changed by filling out a form , signed by the policy owner , requesting the change . You can contact your agent or call the customer service number for your particular life insurance company to obtain the life insurance change of ownership form . "
How Much Does Auto Insurance Cost In New Jersey? ,"Auto insurance in New jersey will vary quite a bit , depending on your age , zip code , types of vehicles you drive and of course , how many tickets and accidents are on your driving record . An experienced broker can quickly compare the best offers from the major carriers so you can save money . You can also view prices online from top-rated companies . "
How Much Should You Pay For Life Insurance? ,"Not more than you can afford . Any insurance you can afford and keep in force is better than the largest insurance policy you can not afford and will let lapse . Depending on your age and health , and whether you choose term or whole life , the price will vary tremendously . Try to find the best company , with the highest ratings , longest existence , best caring agents , knowledgeable listing people , and work with them on a plan for now and over the years , for you and your family . Gary Lane , Registered Representative , New York Life , 949 797 2424 . Thank you . "
How To Cancel Critical Illness Insurance? ,"Canceling an insurance policy is very simple . You may call your agent and have them cancel the policy the agent may refer you to the company customer service number , more than likely if you have you have good agent he will finish the process for you . There will be some forms to to sign possibly , depending on the carrier you are with . "
What Age Does Disability Insurance End? ,What age does disability coverage end ? It will depend on the contract . Disability policies can vary from ending at 65 up to age 75 depending on the carrier and what their contact states for an end date . Some plans reduce benefit or length of payout past age 65 . Depending on the company you choose your payout could go anywhere from 2 years to lifetime . 
Can I Sue My Auto Insurance Company? ,"I am not an attorney , so this should NOT be construed as legal advice , however , my belief is that it would depend on why you are considering suing them . There is normally a requirement in a policy that claims issues be resolved through an arbitration process between you and your insurance company . However , if you have been wronged in some other way , it is certainly possible . It is normally much less expensive to start with your state department of insurance . They are a consumer advocate and should help you make sure your rights are protected . "
Can I Have Auto Insurance Without A Car? ,"Yes , it is possible to have auto insurance without owning a vehicle . You would purchase what is called a `` Named non-owner policy '' . This is typically liability only coverage that provides you coverage when you do not own a vehicle . Contact a local agent to find out more about coverage availability and pricing for your geographic location . "
Will Homeowners Insurance Pay For A Cigarette Being Dropped Resulting In Catching Carpet On Fire? ,"It is always a good idea to check in and discuss the specific terms and conditions of your Homeowners Policy with your Insurance Professional , but yes , your Homeowners policy would more than likly cover this loss . Fire damage is a common cause of loss that is among the named perils in most Homeowners ' policies . "
Does Wells Fargo Have Renters Insurance? ,Wells Fargo is not an insurance company . Wells Fargo can act as an agent with several insurance companies to find you renters insurance . I personally would consult an independent agent who offers insurance for a living and is able to consult on coverage needs then use a bank that offers insurance as a side business . 
Is Medigap Insurance Worth It? ,"If you would like to have peace of mind knowing that the remaining 20 % of Medicare approved charges will be covered by insurance -LRB- instead of your bank account -RRB- , then Medigap insurance is absolutely worth it . Medicare Beneficiaries with Original Medicare Part A and Part B leave themselves vulnerable to the ` gaps ' that Medicare does not cover -LRB- co-insurance , co-pays and deductibles -RRB- . This can add up quickly . For example , a $ 5,000 procedure would leave you with a bill for $ 1,000 -LRB- 20 % co-insurance -RRB- . A $ 20,000 procedure would bill you for $ 4,000 -LRB- 20 % co-insurance -RRB- . You see where this is going ... $ 50,000 operation means you 're stuck with a $ 10,000 hospital bill . Not to mention -- if you have a chronic illness , twenty-percent co-insurance can put a huge burden on your budget . I have spoken to Medicare Beneficiaries who are paying the 20 % co-insurance . Some do n't mind because they have n't had any health issues , but others do have health issues and did n't realize they could n't get a Medigap Plan once they were sick . Meaning , you are not always guaranteed a Medigap Plan whenever you want to buy one . If you are not in your initial Open Enrollment Period or another Guaranteed Issue Situation , you 'll have to qualify medically . If I can assist you with your personal situation , please feel free to contact me . "
What Is The Best Life Insurance Policy For Children? ,"There are different views as to what the best life insurance is for children . If you have more than one minor child , getting a child rider on the parent 's policy is a very low price way of covering your children . If they develop a health condition , they will be able to convert their policy to a permanent policy of approx 5 times the value of the rider when they become an adult . If they stay healthy , they can purchase a permanent policy on their own , at a competitive price , when they become adults . Some parents prefer to purchase permanent policies for their children while they are young , and then give them that policy , all paid up , when they become adults . Either way , getting life insurance on your children ensures that they will be able to have affordable coverage as adults , in addition to providing protection if there was a tragedy while they are young . "
How To Claim Water Damage With Home Insurance? ,"Start by talking with your Insurance Professional about the coverage and limitations of your particular policy . Provide a good discription of the damage and if possible , the cause . I say if possible because while it is fairly easy to pin point a failed valve or pipe , it is harder to find the source of water that may have come in through the roof . Your Insurance Professional will be able to advise you about your deductible and help to report the loss to your Insurance Company . Your assigned Claims Professional will investigate the loss and determine coverage under the terms and conditions of your policy . "
Why Do Health Insurance Companies Deny Claims? ,"Generally , medical claim disputes occur over contract definitions , perceived benefits not covered and various forms of fraud , i.e. misstatements , misleading information or material omission of fact . -LRB- Sometimes the agent has misrepresented the benefits as well . -RRB- Sometimes benefits are not paid until deductibles are satisfied and/or late payments beyond the grace period . "
How Long Does Term Life Insurance Last? ,"Term life insurance lasts as long as the term selected . When the number of the years are up , many policies either automatically become annually renewable , or you can choose to make them annually renewable . This extends the years of the policy , but at a very high price that can go up every year after that . Many Term policies offer conversion privileges , which allows you to change them to permanent insurance . The conversion period may be offered for few years , all the way to the end of the term . Converting your Term life insurance is a way of making it last for a lifetime . "
What Is A Straight Life Variable Annuity? ,"First , a straight life annuity is most usually set-up on a ` fixed ' basis and not a ` variable ' one . This is especially the case since the intent is usually to give the policyholder or ` annuitant ' an income stream in retirement . A major point is that payments to an annuitant cease when the annuitant dies . The intent of the policy is to give the annuitant steady payments for his or her lifetime . Their is no beneficiary involved . Some policyholders may want to speculate on the amount of regularly scheduled payments by purchasing a variable annuity but most would rather not risk negative investment results , adversely affecting their retirement payments . Therefore , back to the first point : Fixed annuities are more popular than variable ones . "
What Is The Difference Between Life Insurance And Health Insurance? ,"Life insurance pays the face amount of the policy to the beneficiary named in the policy . The policy does not pay the benefit until the insured person dies . Health insurance is used by the insured person while they are still alive , to pay for their medical care , both to prevent illness and to treat it . "
Is Life Insurance Ever Tax Deductible? ,"Generally nolife insurancecannot be tax deductible for an individual . mainly because life insurance proceeds are distributed tax free . However , the exception would be if the life policy were in a qualified retirement plan . For business owners and companies life insurance can be tax deductible up to a $ 50,000 face amount on employees if the employer is paying the premiums . "
How Important Is Disability Insurance? ,"How important is disability insurance ? It 's going to depend on your situation . Since Disabiliyt Insurance is paycheck protection , the first thing you have to ask `` is my paycheck worth protecting with disability insurance ? '' Maybe you have passive income or considerable savings that may reduce the the need for disability coverage ? Maybe you are just shy of retirement ? I guess the importence of Disability Insurance to the individual is going to be in proportion to how long that person can go without a paycheck ? Answering that question usually establishes your waiting period for most people for the policy they are considering . "
What To Look For In Life Insurance? ,"What you look for in life insurance will depend on what your specific needs are . If you need temporary insurance coverage , then you should probably look for term policies and compare prices to ensure you get a good price . If you are looking for permanent coverage , or are looking to use life insurance as an asset/cash accumulation tool you should look for policies from companies with strong financial ratings and a strong track record for either paying interest or dividends . "
When Should I Cancel My Term Life Insurance? ,"Based on my 33 years as a life insurance broker , there are multiple answers to your question . Since there are different types of policies -LRB- guarantee periods , conversion options etc. . . -RRB- different face amounts of coverage , and of course , no identical household financial situations , it 's critical to speak with an experienced broker -LRB- and their website -RRB- . Other variables include how your needs have changed , changes in family makeup , budget concerns and possible health issues . This is the type of issue we work with every day and to properly assess your situation , more information is needed . The ramifications of terminating a policy are substantial and the correct decision must be made . "
Can You Claim Prescription Glasses On Medicare? ,"Unfortunately , the only time that prescription glasses are covered by Medicare is when following cataract surgery . One pair of glasses is allowed after each cataract surgery . Medicare does not cover the cost of prescription glasses for purposes of improving eyesight affected by aging or other conditions that impair eyesight . "
Who Can I Buy Life Insurance On? ,"You can buy life insurance on someone with whom you have an `` insurable interest '' . That means that there would be a financial loss to you if they were to pass away . You can buy a policy for your children , as long as it is of a reasonable amount . And most companies will allow you to buy a small final expense policy for your parents . "
How Much Does Insurance Cost For An In Home Daycare? ,"In home daycare is a commercial risk . To get a quote contact a commercial insurance agent . I am confident that there are special packages for in-home daycare . You can contact other day care providers and see where they secured coverage . There are associations that also offer packages . If all else fails , go to a large broker and ask about a package and see what they can put together . "
What Is A Juvenile Life Insurance Policy? ,juvenile insurance is for children usually 18 or younger . It is a great insurance with many perks like automatically over a certain amount of years go up and depending on the carrier and state the application is written in . It can automatically go up in face amount without requiring a medical or be underwritten and generally very inexpensive and because we never know when our last day may be it is definitely something to invest in and generally have little or no medical questions however it will depend on the carrier and or state the application is written in . 
What Is The Difference Between Life Insurance And Critical Illness? ,"Life insurance pay your beneficiary when you die . Critical Illness pays too , but only if you die from a specifically listed disease or ailment . Thus Critical Illness is far more limited as to when or if it will pay your beneficiary . Usually Life Insurance is a far better and wiser choice for you to make . Unless your family has a very strong history of dying from a specific disease and you also can get a far cheaper rate for that limited coverage , go with the regular life . Thank you . GARY LANE . "
Does A Single Man Need Life Insurance? ,"It depends on several factors such as your age , goals and objectives . Many people who are single now expect to have a family sometime in the future . Or , they have extended family members in their care . One 's insurability can change in the future so starting now while younger and insurable is sensible . "
Is Disability Insurance Worth The Cost? ,"Disability Insurance protects your income . The average American becomes disabled once during their working years . That average time of disability is 30 months . Most Americans have 90 days of emergency money . Depending on your gender , age , smoking status and health condition you could pay 5-8 % of your income to protect your income . 60 % of your compensation tax free -LRB- because you didnt deduct the premiums -RRB- and 80 % of your compensation taxable because you deducted the premium through a business . Is that worth it ? "
What To Look For In Disability Insurance? ,"It is important for your policy to cover residual disability . That way , if you are only able to go back to work part time , or are not making as much as before because you are not working to your full capacity , you can still receive a partial disability benefit . You also want to insure yourself for your own occupation . If you are a computer programmer , you do n't want to have to take a job cleaning computers because you ca n't concentrate long enough during your recover to do programming . the `` own occupation '' feature will allow you to receive benefits until you can get back to your own type of job . "
Does Renters Insurance Cover Items In Storage? ,The policy forms and endorsements will determine this . Quite often the typical renters policy may cover personal property -LRB- PP -RRB- anywhere in the world with exceptions and limitations . A thorough reading of the policy is the only true and accurate way to determine what perils are covered and how much coverage is available for PP off premises . Many carriers limit ` PP away from the residence premises ' to a specific percentage of the limit on Personal Property shown in the declarations . They may also limit the off premises coverage to a set amount like $ 2500.00 All this is set forth in the contract of insurance . There are about as many different contracts as there are insurancecompanies offering the coverage Always ask to see a specimen policy if possible . If you are meeting with an agent or broker ask to see the specimen policy and have the individual show you where this coverage is and what limitations or exclusions apply . 
Can I Get Home Insurance With Aluminum Wiring? ,"Every homeowners application I have seen asks the question is there aluminum wiring ? They also ask if there is knob and tube wiring . These forms of electrical distribution only exist in homes over 40 years of age . These forms of wiring are potentially hazardous . Most insurers are not interested in houses with either form of wiring . That doesnt mean that it would be impossible to find coverage , however , rewiring the home may be a less costly option . "
How To Get An Auto Insurance Company To Pay A Claim? ,"An Auto Insurance company will pay a claim provided that the coverage is included in your policy , and the circumstances around the loss are included as covered perils in the terms and conditions of that policy . If you are involved in an accident I suggest the following , 1 -RRB- Do not move the cars . 2 -RRB- Call the local police . 3 -RRB- Assuming that the local police will offer this , collect all the pertinent information for the other party including name , address , contact number , year make and model of their car as well as a preliminary accident report . 5 -RRB- Take a few minutes when you get home to write a short report of the accident . This way , should you be asked for a statement , you are prepared and may read that statement consistently no matter how many times you are asked to provided it . Finally , call your Insurance Professional to report the incident and obtain advice and counsel . "
What Kind Of Life Insurance Can You Borrow Against? ,"The types of life insurance policies you may borrow from are cash value or permanent life insurance policies . These polices are commonly named whole life insurance , variable life insurance , universal life insurance or indexed universal life insurance . The cash value builds over time and will typically take about 5 years to accumulate enough cash value to begin taking loans . The first few years of premiums are used to fund the death benefit . The money is taken in the form of a loan in order to avoid paying taxes . If the money is withdrawn from the plan and not in the form of a loan , the coverage can lapse and the funds are subject to income tax . It is always a good idea to consult your agent or insurance company to avoid a costly mistake when taking money from a cash value life insurance plan . "
Do Auto Insurance Companies Share Information? ,Based on my knowledge and experience I do not believe that the auto insurance carriers share information about their clients directly with other carriers . I beilieve that accident information is placed into a data based that is used by all/many insurance carriers to help provide prospects a more accurate rate when receiving a quote and it also makes life easier for the prospect by not having to remember all of the detail of their claims history . 
Would A Cat D Car Affect My Insurance? ,"Auto insurance follows a specific car . If you have other cars , adding a Cat D car will probably not affect the policy . Many insurers will not provide physical damage coverage for a Cat D car . Otherwise you should be able to find a company that will insure the car for public liability . "
How Much Does Health Insurance Cost? ,"The cost of health insurance can be very affordable or incredibly expensive , depending upon may factors . If you are healthy , young , single , do n't smoke , and live in Ohio , you rate will be very cheap . If you are diabetic , a smoker , obese and live in New Jersey , your health insurance costs more than your home . Your best option is to talk to an experienced broker so you can get a free comparison of the most affordable medical plans in your area . "
Does Auto Insurance Follow The Vehicle? ,Good Question usally insurance follows the car . For example if with my prmission you borrow my car and get into a car accident my insurance should cover the claim . Keep in mind some companies lower you liability limits to the state minimum if are not the driver of the car at the time of the accident . 
How To Evaluate Auto Insurance Companies? ,"There are several criteria that you could use , however , my recommendation is that you select an agent that you can trust . The company is important but not critical . State Insurance Commissioners are obligated to make sure that the companies that they admit to do business in your state will honor the promises that they make . On the other hand , the agent can guide you into wise decisions regarding limits and coverages . At the time of claim the company will perform but they will only perform to the limits that you and your agent set , so make sure you have an agent that you trust . "
How Much Is Aflac Short Term Disability Insurance? ,"Unfortunately , you are not able to purchase Aflac short term disability insurance as an individual . To buy Aflac 's short term disability coverage requires that you are employed by a business that offers it , and then it is paid for by payroll deduction . You would need to contact the business you work for to get the rates for this insurance . "
Who Is The Best Life Insurance Company? ,"I do not know if you can say one is the best at everything , but I do know that one has the greatest and most unique policy coverage . Premier Financial Alliance , through its carrier National Life Group , provides not only Living Benefits Life Insurance , so you do not have to die to collect , but ALSO provides as part of this , Chronic Care , Critical Care , Terminal Care , covering all the areas a person could need payment for as part of their life . If they are disabled , they can get paid . If they need a Nursing Home , they can get paid . If they need Experimental Medical Care , they can get paid . Plus , their premiums are substantially lower than some of the much advertised on TV brands . Yet NLG has been around about 167 years ! I urge you to talk with your qualified Premier Financial Alliance representative . Love to talk with you ! GARY LANE . garylane@cox.net . 714 422 9616 . Thank you . "
How Much Does Auto Insurance Increase After Speeding Ticket? ,"Most insurance companies will give you one speeding ticket , in fact since most companies only do periodic checks , they may not know about the ticket right away . The effect on your rates should be minimal if at all . This varies by company however so check with your local agent . Do not call the insurance company to ask them directly however . That phone call could result in a check and depending on the company , could result in an increase if you have more than the one incident on your record or you are getting a discount for a perfect driving record . "
What Is The Face Value Of A Whole Life Insurance Policy? ,"The face value of a Whole Life insurance policy is the amount of coverage that was purchased . It differs from the cash value , which is the amount of cash that has built up inside the policy . If the policy is surrendered , the cash value -LRB- minus any fees -RRB- would be collected . If death occurred , the face amount -LRB- adjusted by loans , fees , dividends , etc -RRB- would be collected . "
How Does Long Term Care Insurance Work With Medicare? ,"You will continue to receive Medicare , and Medicare will continue to pay for qualified health care costs , regardless of whether or not you have Long Term Care Insurance . Most Long Term Care Insurance policies pay the insured person to spend as the benefit as needed/desired . For those that pay the facility , there is no formal coordination between Long Term Care Insurance and Medicare . "
Is My Home Insurance Tax Deductible? ,"This is a question better asked of a Tax Professional , of course . Generally speaking they are not , however , there maybe situationswhere it may be possible for at least a portion of the premium . This is where you must consult your tax professional . There are circumstances where a home office is set up , where a portion of home expenses , including insurance MAY be tax deductible . These regulations change regularly so always use the knowledge of your tax professional with regard to Federal and State tax regulations . "
What Could Easily Get You Dropped From Your Auto Insurance? ,Several things can get you dropped from your auto insurance policy . One could be not making your payments which could result in policy termination . However assuming you make your payment on time the main reason is increased risk . A poor driving record is usually the primary contributor of your policy being non renewed . DUI 's andwrecklessdriving are top of the list or a combination of multiple accidents and moving violations will do it . You wo n't be cancelled for one or sometimes even two accidents but have that third one and in most cases you may be dropped . There are some carriers that do have a no drop promise so something to consider . 
What Are The Key Provisions In A Life Insurance Policy? ,"Jerry has provided you with a good summary of the provisions in your standard life insurance contract . I will share with you some additional info about one clause in particular : the suicide provision . I have actually handled claims due to suicide . You can imagine how extraordinary an experience that can be . Being there for people in their time of deep grief is hard enough . Getting involved with finances at the time requires great delicacy . And to do so when the cause of claim is suicide gives things an almost unreal quality . Most people have a really tough time dealing with death . When people take their own life , it makes things almost too hard to handle . Against this crazy backdrop , you have the added question as to whether or not the insurance company will pay the benefit . I am pleased to report that in the few cases I have had , the answer has been an unequivocal yes . One claim was actually pretty close to the two-year limit . As such , there was concern as to how tough a line the insurance company would draw . They are , after all , worried about insurance fraud and people trying to collect benefits illicitly . But this case was indeed tragic . It involved an elder gentleman who just was really sick and had had enough of life . So he settled things in his own way . The claim was paid without delay . "
Where To Find Cheap Renters Insurance? ,"Many companies offer cheap renters insurance since this type of policy is usually fairly inexpensive . To find and compare the lowest rates in your area -LRB- perhaps $ 8-20 per month -RRB- , work with an experienced broker that has been licensed for a decade or more and utilize their expertise . Whether it 's State Farm , Allstate , Geico or another reputable carrier , they will be able to find you a plan that fits within your budget . "
How Much Does It Cost For 1 Million In Life Insurance? ,"To find the cost of $ 1,000,000 in life insurance for you , you can go to a website that allows you to put in your information to get your quote , or you can call an online life insurance agency or one that you locate with the Yellow Pages or Chamber of Commerce Directory , or you can visit a local life insurance office . That way you will get the rate that applies to you , not to an unknown person advertised on TV for the type of policy that may or may not do you any good . "
Why Do People Have Life Insurance? ,"People have life insurance for more reasons than you might think . Of course , they have life insurance so that their loved ones would have something to pay the bills for at least a while , until they can get back on their feet . They have life insurance so their kids can grow up financially stable in spite of the emotional trauma of losing a parent . They buy it for business purposes ; to tide them over if a key employee dies ; to provide money for a son to purchase the business from Dad if Dad dies ; to pay the estate taxes . Life insurance is used to fund funerals , provide collateral for loans , and save up money for the policy holder 's dreams . Those are just some of the reasons people have life insurance . "
